DMA,DMA_code,Assignments,Assignment_Rank,Mushroom_Coffee,Luwak_Coffee,Kopi_Luwak,Functional_Food,Beta_Glucan,Health_Supplement,dma_rank, dma_tv_home ,dem_rank,zipcode, return_cnt , elderly_cnt , single_cnt , married_joint_cnt , head_household_cnt ,elerly_perc,single_perc,married_joint_perc,head_household_perc,return_perc, wage_per_capita , total_agi_per_capita , total_tax_per_capita , single_cnt_100K , married_joint_100K , head_household_100K , elderly_cnt_100K , return_cnt_100K ,elerly_perc_100K,100K_given_elerly_perc,100K_given_single_perc,100K_given_married_joint_perc,100K_given_head_household_perc,return_perc_100K, wage_per_capita_100K , total_agi_per_capita_100K , total_tax_per_capita_100K 
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,02330," 6,040 "," 1,890 "," 3,130 "," 2,310 ", 470 ,31.3%,51.8%,38.2%,7.8%,100.0%," 76,308 "," 111,084 "," 111,990 ", 160 ," 1,240 ", 50 , 400 ," 1,470 ",27.2%,21.2%,5.1%,53.7%,10.6%,24.3%," 160,033 "," 234,599 "," 236,237 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85541," 10,380 "," 5,070 "," 4,700 "," 4,540 ", 980 ,48.8%,45.3%,43.7%,9.4%,100.0%," 51,467 "," 122,594 "," 123,937 ", 240 ," 1,380 ", 30 , 990 ," 1,660 ",59.6%,19.5%,5.1%,30.4%,3.1%,16.0%," 103,934 "," 269,953 "," 272,878 "
Indianapolis IN,527,1,3,35,0,13,0,54,70,26," 1,089,700 ",36,46979," 2,410 ", 740 , 980 ," 1,170 ", 220 ,30.7%,40.7%,48.5%,9.1%,100.0%," 78,954 "," 119,390 "," 120,472 ", 50 , 530 , -   , 150 , 590 ,25.4%,20.3%,5.1%,45.3%,0.0%,24.5%," 166,456 "," 259,239 "," 261,542 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,25427," 8,050 "," 2,130 "," 3,530 "," 3,440 ", 860 ,26.5%,43.9%,42.7%,10.7%,100.0%," 75,194 "," 107,073 "," 108,183 ", 180 ," 1,350 ", 30 , 450 ," 1,570 ",28.7%,21.1%,5.1%,39.2%,3.5%,19.5%," 149,401 "," 222,663 "," 225,120 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01504," 5,000 "," 1,210 "," 2,550 "," 1,840 ", 480 ,24.2%,51.0%,36.8%,9.6%,100.0%," 80,796 "," 109,421 "," 110,378 ", 130 ," 1,030 ", 50 , 310 ," 1,220 ",25.4%,25.6%,5.1%,56.0%,10.4%,24.4%," 166,315 "," 229,692 "," 231,655 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03452," 2,950 ", 920 ," 1,570 "," 1,020 ", 260 ,31.2%,53.2%,34.6%,8.8%,100.0%," 72,651 "," 136,212 "," 138,084 ", 80 , 460 , -   , 240 , 560 ,42.9%,26.1%,5.1%,45.1%,0.0%,19.0%," 141,766 "," 310,022 "," 314,703 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76073," 3,120 ", 830 ," 1,180 "," 1,640 ", 240 ,26.6%,37.8%,52.6%,7.7%,100.0%," 79,636 "," 108,594 "," 109,296 ", 60 , 750 , -   , 210 , 830 ,25.3%,25.3%,5.1%,45.7%,0.0%,26.6%," 161,318 "," 227,641 "," 228,845 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03256," 1,210 ", 410 , 590 , 550 , 70 ,33.9%,48.8%,45.5%,5.8%,100.0%," 68,583 "," 109,549 "," 111,597 ", 30 , 240 , -   , 110 , 280 ,39.3%,26.8%,5.1%,43.6%,0.0%,23.1%," 129,433 "," 228,034 "," 232,450 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,25419," 6,060 "," 1,620 "," 2,760 "," 2,410 ", 740 ,26.7%,45.5%,39.8%,12.2%,100.0%," 76,831 "," 106,535 "," 107,355 ", 140 ," 1,020 ", 60 , 320 ," 1,230 ",26.0%,19.8%,5.1%,42.3%,8.1%,20.3%," 153,618 "," 220,646 "," 222,271 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22734," 1,640 ", 330 , 790 , 590 , 220 ,20.1%,48.2%,36.0%,13.4%,100.0%," 74,207 "," 97,387 "," 97,959 ", 40 , 270 , -   , 80 , 340 ,23.5%,24.2%,5.1%,45.8%,0.0%,20.7%," 140,449 "," 194,254 "," 195,036 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01901," 1,230 ", 170 , 790 , 150 , 270 ,13.8%,64.2%,12.2%,22.0%,100.0%," 59,300 "," 68,884 "," 69,309 ", 40 , 40 , -   , -   , 90 ,0.0%,0.0%,5.1%,26.7%,0.0%,7.3%," 124,800 "," 145,522 "," 145,978 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03431," 12,200 "," 3,620 "," 6,940 "," 3,770 "," 1,150 ",29.7%,56.9%,30.9%,9.4%,100.0%," 76,431 "," 124,716 "," 126,502 ", 350 ," 1,770 ", 70 , 880 ," 2,210 ",39.8%,24.3%,5.0%,46.9%,6.1%,18.1%," 156,578 "," 275,340 "," 279,393 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75840," 3,310 ", 940 ," 1,390 "," 1,340 ", 470 ,28.4%,42.0%,40.5%,14.2%,100.0%," 64,029 "," 117,389 "," 118,437 ", 70 , 460 , -   , 210 , 550 ,38.2%,22.3%,5.0%,34.3%,0.0%,16.6%," 119,839 "," 254,099 "," 256,354 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85209," 20,140 "," 6,410 "," 9,740 "," 7,920 "," 2,140 ",31.8%,48.4%,39.3%,10.6%,100.0%," 71,119 "," 111,343 "," 112,224 ", 490 ," 3,310 ", 170 ," 1,270 "," 3,990 ",31.8%,19.8%,5.0%,41.8%,7.9%,19.8%," 143,684 "," 235,015 "," 236,758 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75402," 8,830 "," 2,400 "," 3,980 "," 3,690 ", 980 ,27.2%,45.1%,41.8%,11.1%,100.0%," 69,825 "," 110,893 "," 112,008 ", 200 ," 1,510 ", 40 , 600 ," 1,760 ",34.1%,25.0%,5.0%,40.9%,4.1%,19.9%," 135,366 "," 234,173 "," 236,605 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22701," 17,770 "," 4,410 "," 8,360 "," 6,530 "," 2,370 ",24.8%,47.0%,36.7%,13.3%,100.0%," 73,733 "," 114,162 "," 115,643 ", 420 ," 2,970 ", 120 ," 1,160 "," 3,560 ",32.6%,26.3%,5.0%,45.5%,5.1%,20.0%," 147,024 "," 243,946 "," 247,425 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75422," 1,400 ", 420 , 600 , 640 , 140 ,30.0%,42.9%,45.7%,10.0%,100.0%," 69,013 "," 106,301 "," 107,346 ", 30 , 230 , -   , 90 , 260 ,34.6%,21.4%,5.0%,35.9%,0.0%,18.6%," 132,114 "," 219,818 "," 222,002 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75409," 10,670 "," 1,580 "," 4,400 "," 4,530 "," 1,480 ",14.8%,41.2%,42.5%,13.9%,100.0%," 82,742 "," 114,309 "," 115,319 ", 220 ," 1,900 ", 70 , 370 ," 2,220 ",16.7%,23.4%,5.0%,41.9%,4.7%,20.8%," 162,936 "," 243,522 "," 245,693 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75109," 2,130 ", 670 , 800 ," 1,040 ", 250 ,31.5%,37.6%,48.8%,11.7%,100.0%," 81,953 "," 129,647 "," 130,866 ", 40 , 430 , -   , 210 , 480 ,43.8%,31.3%,5.0%,41.3%,0.0%,22.5%," 174,008 "," 291,621 "," 294,357 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85351," 15,570 "," 12,860 "," 9,020 "," 5,940 ", 370 ,82.6%,57.9%,38.2%,2.4%,100.0%," 30,687 "," 110,485 "," 111,032 ", 450 ," 1,300 ", -   ," 1,500 "," 1,790 ",83.8%,11.7%,5.0%,21.9%,0.0%,11.5%," 60,507 "," 233,647 "," 234,480 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85381," 13,130 "," 3,600 "," 6,620 "," 4,820 "," 1,530 ",27.4%,50.4%,36.7%,11.7%,100.0%," 71,966 "," 116,108 "," 117,123 ", 330 ," 2,280 ", 100 , 990 ," 2,720 ",36.4%,27.5%,5.0%,47.3%,6.5%,20.7%," 142,683 "," 249,304 "," 251,355 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85388," 13,970 "," 2,690 "," 5,830 "," 6,110 "," 1,800 ",19.3%,41.7%,43.7%,12.9%,100.0%," 76,536 "," 108,858 "," 109,765 ", 290 ," 2,690 ", 150 , 600 ," 3,130 ",19.2%,22.3%,5.0%,44.0%,8.3%,22.4%," 149,914 "," 227,482 "," 229,294 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76028," 34,390 "," 8,130 "," 14,490 "," 15,060 "," 4,130 ",23.6%,42.1%,43.8%,12.0%,100.0%," 79,893 "," 120,400 "," 121,461 ", 720 ," 7,400 ", 270 ," 2,030 "," 8,460 ",24.0%,25.0%,5.0%,49.1%,6.5%,24.6%," 162,979 "," 262,459 "," 264,699 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76108," 22,680 "," 4,460 "," 10,890 "," 7,910 "," 3,390 ",19.7%,48.0%,34.9%,14.9%,100.0%," 81,385 "," 124,616 "," 125,435 ", 540 ," 3,230 ", 120 ," 1,100 "," 3,930 ",28.0%,24.7%,5.0%,40.8%,3.5%,17.3%," 163,351 "," 275,493 "," 277,172 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76078," 4,560 ", 890 ," 1,820 "," 2,140 ", 540 ,19.5%,39.9%,46.9%,11.8%,100.0%," 82,161 "," 115,898 "," 116,807 ", 90 , 910 , 30 , 220 ," 1,030 ",21.4%,24.7%,4.9%,42.5%,5.6%,22.6%," 164,010 "," 248,998 "," 250,891 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76013," 15,160 "," 3,910 "," 8,120 "," 4,830 "," 1,980 ",25.8%,53.6%,31.9%,13.1%,100.0%," 75,643 "," 126,414 "," 127,578 ", 400 ," 2,070 ", 90 ," 1,020 "," 2,580 ",39.5%,26.1%,4.9%,42.9%,4.5%,17.0%," 155,210 "," 280,934 "," 283,401 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01570," 9,550 "," 2,400 "," 5,280 "," 2,640 "," 1,430 ",25.1%,55.3%,27.6%,15.0%,100.0%," 79,627 "," 124,518 "," 125,917 ", 260 ," 1,100 ", 70 , 480 ," 1,440 ",33.3%,20.0%,4.9%,41.7%,4.9%,15.1%," 163,457 "," 275,072 "," 278,406 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03447," 1,230 ", 400 , 610 , 530 , 80 ,32.5%,49.6%,43.1%,6.5%,100.0%," 74,506 "," 114,766 "," 115,782 ", 30 , 230 , -   , 110 , 260 ,42.3%,27.5%,4.9%,43.4%,0.0%,21.1%," 151,205 "," 245,335 "," 247,031 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03878," 6,630 "," 1,540 "," 3,670 "," 2,070 ", 730 ,23.2%,55.4%,31.2%,11.0%,100.0%," 76,305 "," 102,792 "," 103,631 ", 180 , 860 , 30 , 300 ," 1,070 ",28.0%,19.5%,4.9%,41.5%,4.1%,16.1%," 149,764 "," 209,232 "," 210,962 "
Indianapolis IN,527,1,3,35,0,13,0,54,70,26," 1,089,700 ",36,46112," 20,420 "," 5,050 "," 8,770 "," 9,130 "," 2,040 ",24.7%,42.9%,44.7%,10.0%,100.0%," 83,450 "," 112,953 "," 114,146 ", 430 ," 5,250 ", 200 ," 1,300 "," 5,950 ",21.8%,25.7%,4.9%,57.5%,9.8%,29.1%," 173,844 "," 240,421 "," 242,921 "
West Palm Beach-Ft. Pierce FL,548,1,2,55,0,5,0,76,99,38," 794,310 ",20,32958," 14,720 "," 6,940 "," 6,950 "," 6,170 "," 1,280 ",47.1%,47.2%,41.9%,8.7%,100.0%," 54,936 "," 123,074 "," 124,373 ", 340 ," 1,860 ", 50 ," 1,250 "," 2,280 ",54.8%,18.0%,4.9%,30.1%,3.9%,15.5%," 109,780 "," 270,806 "," 273,621 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76259," 3,050 ", 570 ," 1,230 "," 1,470 ", 300 ,18.7%,40.3%,48.2%,9.8%,100.0%," 82,495 "," 111,380 "," 112,392 ", 60 , 710 , -   , 150 , 780 ,19.2%,26.3%,4.9%,48.3%,0.0%,25.6%," 166,808 "," 235,014 "," 236,973 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03307," 3,050 ", 990 ," 1,440 "," 1,330 ", 210 ,32.5%,47.2%,43.6%,6.9%,100.0%," 78,355 "," 134,938 "," 136,565 ", 70 , 630 , 20 , 240 , 730 ,32.9%,24.2%,4.9%,47.4%,9.5%,23.9%," 164,631 "," 306,381 "," 310,073 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76137," 29,080 "," 4,610 "," 14,420 "," 9,700 "," 4,420 ",15.9%,49.6%,33.4%,15.2%,100.0%," 81,590 "," 105,157 "," 105,844 ", 700 ," 3,920 ", 210 ," 1,180 "," 4,870 ",24.2%,25.6%,4.9%,40.4%,4.8%,16.7%," 161,749 "," 216,868 "," 217,989 "
Indianapolis IN,527,1,3,35,0,13,0,54,70,26," 1,089,700 ",36,46060," 21,670 "," 4,480 "," 9,910 "," 8,800 "," 2,390 ",20.7%,45.7%,40.6%,11.0%,100.0%," 87,789 "," 130,234 "," 131,595 ", 480 ," 4,430 ", 170 ," 1,110 "," 5,140 ",21.6%,24.8%,4.8%,50.3%,7.1%,23.7%," 183,951 "," 292,125 "," 295,073 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75770," 1,380 ", 470 , 620 , 620 , 140 ,34.1%,44.9%,44.9%,10.1%,100.0%," 66,063 "," 147,960 "," 149,420 ", 30 , 230 , -   , 120 , 260 ,46.2%,25.5%,4.8%,37.1%,0.0%,18.8%," 128,433 "," 344,973 "," 348,302 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03455," 1,170 ", 370 , 620 , 420 , 100 ,31.6%,53.0%,35.9%,8.5%,100.0%," 65,328 "," 125,130 "," 127,271 ", 30 , 170 , -   , 90 , 210 ,42.9%,24.3%,4.8%,40.5%,0.0%,17.9%," 122,626 "," 275,022 "," 279,924 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03839," 2,280 ", 460 ," 1,240 ", 700 , 280 ,20.2%,54.4%,30.7%,12.3%,100.0%," 70,596 "," 98,831 "," 100,941 ", 60 , 310 , -   , 90 , 380 ,23.7%,19.6%,4.8%,44.3%,0.0%,16.7%," 131,752 "," 198,880 "," 204,170 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01542," 1,230 ", 380 , 620 , 460 , 130 ,30.9%,50.4%,37.4%,10.6%,100.0%," 75,349 "," 128,823 "," 129,457 ", 30 , 240 , -   , 100 , 280 ,35.7%,26.3%,4.8%,52.2%,0.0%,22.8%," 158,343 "," 286,867 "," 287,955 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85281," 27,390 "," 2,530 "," 20,770 "," 3,550 "," 2,730 ",9.2%,75.8%,13.0%,10.0%,100.0%," 84,105 "," 124,391 "," 125,711 "," 1,000 "," 1,190 ", 100 , 510 ," 2,310 ",22.1%,20.2%,4.8%,33.5%,3.7%,8.4%," 166,202 "," 275,422 "," 278,532 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76123," 19,010 "," 3,080 "," 8,740 "," 6,070 "," 3,800 ",16.2%,46.0%,31.9%,20.0%,100.0%," 79,766 "," 107,249 "," 108,142 ", 420 ," 2,480 ", 170 , 770 ," 3,110 ",24.8%,25.0%,4.8%,40.9%,4.5%,16.4%," 156,352 "," 223,027 "," 224,782 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76050," 3,270 ", 820 ," 1,250 "," 1,640 ", 350 ,25.1%,38.2%,50.2%,10.7%,100.0%," 75,449 "," 121,783 "," 123,181 ", 60 , 710 , -   , 190 , 780 ,24.4%,23.2%,4.8%,43.3%,0.0%,23.9%," 149,901 "," 267,036 "," 270,182 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,01535," 2,500 ", 640 ," 1,250 ", 900 , 280 ,25.6%,50.0%,36.0%,11.2%,100.0%," 80,206 "," 111,848 "," 112,682 ", 60 , 400 , -   , 140 , 460 ,30.4%,21.9%,4.8%,44.4%,0.0%,18.4%," 166,658 "," 236,977 "," 238,353 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75067," 32,970 "," 4,760 "," 17,740 "," 9,360 "," 5,140 ",14.4%,53.8%,28.4%,15.6%,100.0%," 83,528 "," 105,662 "," 106,449 ", 850 ," 3,190 ", 210 , 880 ," 4,310 ",20.4%,18.5%,4.8%,34.1%,4.1%,13.1%," 165,578 "," 218,546 "," 220,010 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85205," 20,410 "," 7,220 "," 10,660 "," 7,240 "," 2,160 ",35.4%,52.2%,35.5%,10.6%,100.0%," 79,769 "," 159,829 "," 161,011 ", 510 ," 2,860 ", 120 ," 1,250 "," 3,540 ",35.3%,17.3%,4.8%,39.5%,5.6%,17.3%," 167,892 "," 381,092 "," 383,573 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03234," 2,610 ", 800 ," 1,260 "," 1,100 ", 170 ,30.7%,48.3%,42.1%,6.5%,100.0%," 76,364 "," 111,522 "," 112,884 ", 60 , 530 , -   , 160 , 610 ,26.2%,20.0%,4.8%,48.2%,0.0%,23.4%," 155,423 "," 236,117 "," 238,947 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03244," 4,190 "," 1,160 "," 2,100 "," 1,500 ", 440 ,27.7%,50.1%,35.8%,10.5%,100.0%," 71,307 "," 122,352 "," 123,812 ", 100 , 580 , -   , 250 , 700 ,35.7%,21.6%,4.8%,38.7%,0.0%,16.7%," 136,368 "," 268,606 "," 272,073 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03047, 850 , 270 , 420 , 350 , 60 ,31.8%,49.4%,41.2%,7.1%,100.0%," 76,026 "," 107,027 "," 108,967 ", 20 , 160 , -   , 70 , 190 ,36.8%,25.9%,4.8%,45.7%,0.0%,22.4%," 153,923 "," 223,673 "," 228,162 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76020," 15,840 "," 3,990 "," 6,730 "," 6,860 "," 1,920 ",25.2%,42.5%,43.3%,12.1%,100.0%," 79,775 "," 121,347 "," 122,330 ", 320 ," 2,960 ", 90 ," 1,070 "," 3,410 ",31.4%,26.8%,4.8%,43.1%,4.7%,21.5%," 162,549 "," 265,681 "," 267,830 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76118," 7,940 "," 1,600 "," 3,790 "," 2,930 "," 1,020 ",20.2%,47.7%,36.9%,12.8%,100.0%," 79,019 "," 106,655 "," 107,338 ", 180 ," 1,220 ", 50 , 330 ," 1,480 ",22.3%,20.6%,4.7%,41.6%,4.9%,18.6%," 156,314 "," 221,435 "," 222,507 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22601," 14,500 "," 3,570 "," 8,220 "," 3,960 "," 1,910 ",24.6%,56.7%,27.3%,13.2%,100.0%," 78,799 "," 121,481 "," 122,944 ", 390 ," 1,710 ", 80 , 870 ," 2,210 ",39.4%,24.4%,4.7%,43.2%,4.2%,15.2%," 162,563 "," 266,734 "," 270,172 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76180," 18,260 "," 4,250 "," 9,590 "," 5,750 "," 2,540 ",23.3%,52.5%,31.5%,13.9%,100.0%," 77,219 "," 126,008 "," 126,943 ", 450 ," 2,220 ", 110 , 960 ," 2,810 ",34.2%,22.6%,4.7%,38.6%,4.3%,15.4%," 155,006 "," 279,468 "," 281,345 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75223," 6,190 ", 870 ," 3,200 "," 1,680 "," 1,240 ",14.1%,51.7%,27.1%,20.0%,100.0%," 88,958 "," 121,515 "," 122,974 ", 150 , 420 , 30 , 110 , 620 ,17.7%,12.6%,4.7%,25.0%,2.4%,10.0%," 185,465 "," 267,199 "," 270,599 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,25438," 3,720 ", 770 ," 1,920 "," 1,090 ", 570 ,20.7%,51.6%,29.3%,15.3%,100.0%," 76,393 "," 100,704 "," 101,717 ", 90 , 420 , 30 , 120 , 560 ,21.4%,15.6%,4.7%,38.5%,5.3%,15.1%," 147,964 "," 204,448 "," 206,823 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,05346," 2,370 ", 910 ," 1,280 ", 850 , 200 ,38.4%,54.0%,35.9%,8.4%,100.0%," 63,228 "," 143,772 "," 146,652 ", 60 , 330 , -   , 200 , 400 ,50.0%,22.0%,4.7%,38.8%,0.0%,16.9%," 123,428 "," 332,705 "," 338,945 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,03220," 3,890 "," 1,100 "," 1,920 "," 1,450 ", 400 ,28.3%,49.4%,37.3%,10.3%,100.0%," 75,249 "," 113,387 "," 114,843 ", 90 , 530 , -   , 210 , 640 ,32.8%,19.1%,4.7%,36.6%,0.0%,16.5%," 149,995 "," 241,167 "," 244,281 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75115," 27,590 "," 6,330 "," 14,090 "," 6,250 "," 6,400 ",22.9%,51.1%,22.7%,23.2%,100.0%," 76,290 "," 111,900 "," 112,793 ", 660 ," 2,500 ", 310 ," 1,280 "," 3,550 ",36.1%,20.2%,4.7%,40.0%,4.8%,12.9%," 148,543 "," 237,280 "," 239,190 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76017," 22,440 "," 5,390 "," 10,950 "," 7,560 "," 3,450 ",24.0%,48.8%,33.7%,15.4%,100.0%," 80,572 "," 131,117 "," 132,320 ", 510 ," 3,290 ", 180 ," 1,520 "," 4,010 ",37.9%,28.2%,4.7%,43.5%,5.2%,17.9%," 164,091 "," 294,811 "," 297,432 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85533," 1,070 ", 260 , 430 , 410 , 200 ,24.3%,40.2%,38.3%,18.7%,100.0%," 52,898 "," 68,069 "," 68,223 ", 20 , 140 , -   , 40 , 180 ,22.2%,15.4%,4.7%,34.1%,0.0%,16.8%," 101,633 "," 144,406 "," 144,611 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76071," 2,050 ", 380 , 860 , 870 , 280 ,18.5%,42.0%,42.4%,13.7%,100.0%," 87,711 "," 109,103 "," 110,286 ", 40 , 340 , -   , 80 , 400 ,20.0%,21.1%,4.7%,39.1%,0.0%,19.5%," 181,784 "," 228,341 "," 231,061 "
Boston MA-Manchester NH,506,3,3,49,50,17,69,62,69,7," 2,366,690 ",4,05345, 860 , 310 , 430 , 340 , 60 ,36.0%,50.0%,39.5%,7.0%,100.0%," 40,188 "," 123,161 "," 124,353 ", 20 , 130 , -   , 70 , 160 ,43.8%,22.6%,4.7%,38.2%,0.0%,18.6%," 55,836 "," 271,107 "," 272,529 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85140," 20,080 "," 4,240 "," 8,200 "," 9,010 "," 2,550 ",21.1%,40.8%,44.9%,12.7%,100.0%," 78,728 "," 115,233 "," 116,157 ", 380 ," 3,660 ", 160 ," 1,130 "," 4,230 ",26.7%,26.7%,4.6%,40.6%,6.3%,21.1%," 155,628 "," 246,383 "," 248,252 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,86324," 2,240 "," 1,030 "," 1,080 ", 900 , 230 ,46.0%,48.2%,40.2%,10.3%,100.0%," 57,916 "," 123,767 "," 125,185 ", 50 , 330 , -   , 200 , 390 ,51.3%,19.4%,4.6%,36.7%,0.0%,17.4%," 119,679 "," 272,073 "," 274,911 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,21782," 1,950 ", 590 , 870 , 870 , 150 ,30.3%,44.6%,44.6%,7.7%,100.0%," 76,764 "," 114,741 "," 115,556 ", 40 , 370 , -   , 130 , 440 ,29.5%,22.0%,4.6%,42.5%,0.0%,22.6%," 157,798 "," 245,542 "," 247,102 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,75189," 18,570 "," 3,010 "," 7,180 "," 8,430 "," 2,510 ",16.2%,38.7%,45.4%,13.5%,100.0%," 82,024 "," 114,207 "," 115,114 ", 330 ," 3,830 ", 150 , 770 ," 4,350 ",17.7%,25.6%,4.6%,45.4%,6.0%,23.4%," 162,190 "," 243,527 "," 245,269 "
Washington DC (Hagerstown MD),511,3,2,54,29,19,90,60,59,8," 2,359,160 ",1,22712," 5,090 ", 940 ," 2,410 "," 1,890 ", 660 ,18.5%,47.3%,37.1%,13.0%,100.0%," 79,373 "," 100,461 "," 101,463 ", 110 , 980 , 60 , 250 ," 1,160 ",21.6%,26.6%,4.6%,51.9%,9.1%,22.8%," 157,590 "," 203,182 "," 205,332 "
Phoenix AZ,753,1,1,68,0,16,0,63,78,13," 1,812,040 ",28,85138," 21,820 "," 5,000 "," 9,230 "," 8,690 "," 3,470 ",22.9%,42.3%,39.8%,15.9%,100.0%," 72,530 "," 103,760 "," 104,500 ", 420 ," 3,070 ", 150 ," 1,020 "," 3,670 ",27.8%,20.4%,4.6%,35.3%,4.3%,16.8%," 138,206 "," 212,138 "," 213,563 "
Dallas-Ft. Worth TX,623,3,1,45,37,17,87,46,74,5," 2,588,020 ",30,76225," 1,640 ", 450 , 660 , 840 , 140 ,27.4%,40.2%,51.2%,8.5%,100.0%," 77,282 "," 114,928 "," 115,678 ", 30 , 330 , -   , 100 , 360 ,27.8%,22.2%,4.5%,39.3%,0.0%,22.0%," 153,987 "," 245,802 "," 246,972 "
